Line No.    	Lexeme              	Token Type  	Attribute
17          	procedure           	37          	0
17          	proc2               	1           	0x7f9762c04360
17          	(                   	2           	81
17          	x                   	1           	0x7f9762c037e0
17          	:                   	6           	0
17          	integer             	34          	0
17          	;                   	4           	86
17          	y                   	1           	0x7f9762c038c0
17          	:                   	6           	0
17          	integer             	34          	0
17          	)                   	2           	82
17          	;                   	4           	86
18          	var                 	31          	0
18          	e                   	1           	0x7f9762c046c0
18          	:                   	6           	0
18          	real                	35          	0
18          	;                   	4           	86
20          	procedure           	37          	0
20          	proc3               	1           	0x7f9762c04810
20          	(                   	2           	81
20          	n                   	1           	0x7f9762c04890
20          	:                   	6           	0
20          	integer             	34          	0
20          	;                   	4           	86
20          	z                   	1           	0x7f9762c03a60
20          	:                   	6           	0
20          	real                	35          	0
20          	)                   	2           	82
20          	;                   	4           	86
21          	var                 	31          	0
21          	e                   	1           	0x7f9762c046c0
21          	:                   	6           	0
21          	integer             	34          	0
21          	;                   	4           	86
23          	procedure           	37          	0
23          	proc4               	1           	0x7f9762c04c80
23          	(                   	2           	81
23          	a                   	1           	0x7f9762c030d0
23          	:                   	6           	0
23          	integer             	34          	0
23          	;                   	4           	86
23          	z                   	1           	0x7f9762c03a60
23          	:                   	6           	0
23          	array               	32          	0
23          	[                   	2           	83
23          	1                   	10          	0
23          	..                  	5           	0
23          	3                   	10          	0
23          	]                   	2           	84
23          	of                  	33          	0
23          	real                	35          	0
23          	)                   	2           	82
23          	;                   	4           	86
24          	var                 	31          	0
24          	x                   	1           	0x7f9762c037e0
24          	:                   	6           	0
24          	integer             	34          	0
24          	;                   	4           	86
25          	begin               	38          	70
26          	a                   	1           	0x7f9762c030d0
26          	:=                  	3           	0
26          	e                   	1           	0x7f9762c046c0
27          	end                 	38          	71
27          	;                   	4           	86
29          	begin               	38          	70
30          	a                   	1           	0x7f9762c030d0
30          	:=                  	3           	0
30          	e                   	1           	0x7f9762c046c0
30          	;                   	4           	86
31          	e                   	1           	0x7f9762c046c0
31          	:=                  	3           	0
31          	c                   	1           	0x7f9762c03370
31          	[                   	2           	83
31          	e                   	1           	0x7f9762c046c0
31          	]                   	2           	84
32          	end                 	38          	71
32          	;                   	4           	86
34          	begin               	38          	70
35          	call                	43          	0
35          	proc1               	1           	0x7f9762c03760
35          	(                   	2           	81
35          	x                   	1           	0x7f9762c037e0
35          	,                   	4           	85
35          	e                   	1           	0x7f9762c046c0
35          	,                   	4           	85
35          	c                   	1           	0x7f9762c03370
35          	,                   	4           	85
35          	b                   	1           	0x7f9762c03220
35          	)                   	2           	82
35          	;                   	4           	86
36          	call                	43          	0
36          	proc3               	1           	0x7f9762c04810
36          	(                   	2           	81
36          	c                   	1           	0x7f9762c03370
36          	[                   	2           	83
36          	1                   	10          	0
36          	]                   	2           	84
36          	,                   	4           	85
36          	e                   	1           	0x7f9762c046c0
36          	)                   	2           	82
36          	;                   	4           	86
37          	e                   	1           	0x7f9762c046c0
37          	:=                  	3           	0
37          	e                   	1           	0x7f9762c046c0
37          	+                   	9           	96
37          	4.44                	11          	0
37          	;                   	4           	86
38          	a                   	1           	0x7f9762c030d0
38          	:=                  	3           	0
38          	(                   	2           	81
38          	a                   	1           	0x7f9762c030d0
38          	mod                 	8           	79
38          	y                   	1           	0x7f9762c038c0
38          	)                   	2           	82
38          	div                 	8           	78
38          	x                   	1           	0x7f9762c037e0
38          	;                   	4           	86
39          	while               	40          	75
39          	(                   	2           	81
39          	(                   	2           	81
39          	a                   	1           	0x7f9762c030d0
39          	>=                  	7           	92
39          	4                   	10          	0
39          	)                   	2           	82
39          	and                 	8           	80
39          	(                   	2           	81
39          	(                   	2           	81
39          	b                   	1           	0x7f9762c03220
39          	<=                  	7           	88
39          	e                   	1           	0x7f9762c046c0
39          	)                   	2           	82
40          	or                  	9           	77
40          	(                   	2           	81
40          	not                 	42          	0
40          	(                   	2           	81
40          	a                   	1           	0x7f9762c030d0
40          	=                   	7           	91
40          	c                   	1           	0x7f9762c03370
40          	[                   	2           	83
40          	a                   	1           	0x7f9762c030d0
40          	]                   	2           	84
40          	)                   	2           	82
40          	)                   	2           	82
40          	)                   	2           	82
40          	)                   	2           	82
40          	do                  	40          	76
41          	begin               	38          	70
42          	a                   	1           	0x7f9762c030d0
42          	:=                  	3           	0
42          	c                   	1           	0x7f9762c03370
42          	[                   	2           	83
42          	a                   	1           	0x7f9762c030d0
42          	]                   	2           	84
42          	+                   	9           	96
42          	1                   	10          	0
43          	end                 	38          	71
44          	end                 	38          	71
44          	;                   	4           	86
46          	begin               	38          	70
47          	call                	43          	0
47          	proc2               	1           	0x7f9762c04360
47          	(                   	2           	81
47          	c                   	1           	0x7f9762c03370
47          	[                   	2           	83
47          	4                   	10          	0
47          	]                   	2           	84
47          	,                   	4           	85
47          	c                   	1           	0x7f9762c03370
47          	[                   	2           	83
47          	5                   	10          	0
47          	]                   	2           	84
47          	)                   	2           	82
47          	;                   	4           	86
48          	call                	43          	0
48          	proc2               	1           	0x7f9762c04360
48          	(                   	2           	81
48          	c                   	1           	0x7f9762c03370
48          	[                   	2           	83
48          	4                   	10          	0
48          	]                   	2           	84
48          	,                   	4           	85
48          	2                   	10          	0
48          	)                   	2           	82
48          	;                   	4           	86
49          	if                  	39          	72
49          	(                   	2           	81
49          	a                   	1           	0x7f9762c030d0
49          	<                   	7           	90
49          	2                   	10          	0
49          	)                   	2           	82
49          	then                	39          	73
49          	a                   	1           	0x7f9762c030d0
49          	:=                  	3           	0
49          	1                   	10          	0
49          	else                	39          	74
49          	a                   	1           	0x7f9762c030d0
49          	:=                  	3           	0
49          	a                   	1           	0x7f9762c030d0
49          	+                   	9           	96
49          	2                   	10          	0
49          	;                   	4           	86
50          	if                  	39          	72
50          	(                   	2           	81
50          	b                   	1           	0x7f9762c03220
50          	>                   	7           	93
50          	4.2                 	11          	0
50          	)                   	2           	82
50          	then                	39          	73
50          	a                   	1           	0x7f9762c030d0
50          	:=                  	3           	0
50          	c                   	1           	0x7f9762c03370
50          	[                   	2           	83
50          	a                   	1           	0x7f9762c030d0
50          	]                   	2           	84
51          	end                 	38          	71
51          	.                   	4           	87
-1          	EOF                 	20          	0
