Line No.    	Lexeme              	Token Type  	Attribute
29          	c                   	1           	0x7f8272e009e0
29          	+                   	9           	96
29          	sum                 	1           	0x7f8272e01320
29          	;                   	4           	86
30          	c                   	1           	0x7f8272e009e0
30          	:=                  	3           	0
30          	b                   	1           	0x7f8272e00900
31          	;                   	4           	86
32          	fib2                	1           	0x7f8272e00fa0
32          	:=                  	3           	0
32          	sum                 	1           	0x7f8272e01320
33          	end                 	38          	71
33          	;                   	4           	86
35          	procedure           	37          	0
35          	init                	1           	0x7f8272c03200
35          	;                   	4           	86
36          	begin               	38          	70
37          	n                   	1           	0x7f8272e00230
37          	:=                  	3           	0
37          	12                  	10          	0
37          	;                   	4           	86
38          	if                  	39          	72
38          	(                   	2           	81
38          	1                   	10          	0
38          	and                 	8           	80
38          	2                   	10          	0
38          	)                   	2           	82
38          	or                  	9           	77
38          	3                   	10          	0
38          	then                	39          	73
38          	p                   	1           	0x7f8272e00340
38          	:=                  	3           	0
38          	12                  	10          	0
39          	else                	39          	74
39          	p                   	1           	0x7f8272e00340
39          	:=                  	3           	0
39          	14                  	10          	0
40          	numsArray           	1           	0x7f8272e00560
40          	[                   	2           	83
40          	3                   	10          	0
40          	]                   	2           	84
40          	:=                  	3           	0
40          	15.56               	11          	0
40          	;                   	4           	86
41          	q                   	1           	0x7f8272e00450
41          	:=                  	3           	0
41          	12                  	10          	0
42          	end                 	38          	71
42          	;                   	4           	86
44          	begin               	38          	70
45          	call                	43          	0
45          	init                	1           	0x7f8272c03200
45          	;                   	4           	86
46          	call                	43          	0
46          	(                   	2           	81
46          	34                  	10          	0
46          	)                   	2           	82
46          	;                   	4           	86
47          	call                	43          	0
47          	writeln             	1           	0x7f8272e01f00
47          	(                   	2           	81
47          	+                   	9           	96
47          	6                   	10          	0
47          	*                   	8           	94
47          	q                   	1           	0x7f8272e00450
47          	/                   	8           	95
47          	p                   	1           	0x7f8272e00340
47          	+                   	9           	96
47          	4                   	10          	0
47          	)                   	2           	82
47          	;                   	4           	86
48          	call                	43          	0
48          	writeln             	1           	0x7f8272e01f00
48          	(                   	2           	81
48          	fib2                	1           	0x7f8272e00fa0
48          	*                   	8           	94
48          	n                   	1           	0x7f8272e00230
48          	)                   	2           	82
48          	;                   	4           	86
49          	call                	43          	0
49          	writeln             	1           	0x7f8272e01f00
49          	(                   	2           	81
49          	numsArray           	1           	0x7f8272e00560
49          	[                   	2           	83
49          	3                   	10          	0
49          	]                   	2           	84
49          	mod                 	8           	79
49          	15                  	10          	0
49          	)                   	2           	82
50          	end                 	38          	71
50          	.                   	4           	87
-1          	EOF                 	20          	0
