Line No.    	Lexeme              	Token Type  	Attribute
27          	a                   	1           	0x7ffbd1c032d0
27          	-                   	9           	97
27          	1                   	10          	0
27          	;                   	4           	86
28          	b                   	1           	0x7ffbd1c033b0
28          	:=                  	3           	0
28          	sum                 	1           	0x7ffbd1c03dd0
28          	;                   	4           	86
29          	sum                 	1           	0x7ffbd1c03dd0
29          	:=                  	3           	0
29          	c                   	1           	0x7ffbd1c03490
29          	+                   	9           	96
29          	sum                 	1           	0x7ffbd1c03dd0
29          	;                   	4           	86
30          	c                   	1           	0x7ffbd1c03490
30          	:=                  	3           	0
30          	b                   	1           	0x7ffbd1c033b0
31          	end                 	38          	71
31          	;                   	4           	86
32          	fib2                	1           	0x7ffbd1c03a80
32          	:=                  	3           	0
32          	sum                 	1           	0x7ffbd1c03dd0
33          	end                 	38          	71
33          	;                   	4           	86
35          	procedure           	37          	0
35          	init                	1           	0x7ffbd1c04f60
35          	;                   	4           	86
