Line No.    	Lexeme              	Token Type  	Attribute
37          	)                   	2           	82
37          	or                  	9           	77
37          	3                   	10          	0
37          	then                	39          	73
37          	p                   	1           	0x7fca8dc03100
37          	:=                  	3           	0
37          	12                  	10          	0
38          	else                	39          	74
38          	p                   	1           	0x7fca8dc03100
38          	:=                  	3           	0
38          	14                  	10          	0
38          	;                   	4           	86
39          	numsArray           	1           	0x7fca8dc03320
39          	[                   	2           	83
39          	3.1                 	11          	0
39          	]                   	2           	84
39          	:=                  	3           	0
39          	15.56               	11          	0
39          	;                   	4           	86
40          	q                   	1           	0x7fca8dc03210
40          	:=                  	3           	0
40          	12                  	10          	0
41          	end                 	38          	71
41          	;                   	4           	86
43          	begin               	38          	70
44          	call                	43          	0
44          	init                	1           	0x7fca8dc051f0
44          	;                   	4           	86
45          	call                	43          	0
45          	rawr3               	1           	0x7fca8dc04250
45          	(                   	2           	81
45          	34                  	10          	0
45          	)                   	2           	82
45          	;                   	4           	86
46          	call                	43          	0
46          	writeln             	1           	0x7fca8dc05b40
46          	(                   	2           	81
46          	+                   	9           	96
46          	6                   	10          	0
46          	*                   	8           	94
46          	q                   	1           	0x7fca8dc03210
46          	/                   	8           	95
46          	p                   	1           	0x7fca8dc03100
46          	+                   	9           	96
46          	4                   	10          	0
46          	)                   	2           	82
46          	;                   	4           	86
47          	call                	43          	0
47          	writeln             	1           	0x7fca8dc05b40
47          	(                   	2           	81
47          	fib2                	1           	0x7fca8dc03dc0
47          	*                   	8           	94
47          	n                   	1           	0x7fca8dc02ff0
47          	)                   	2           	82
47          	;                   	4           	86
48          	call                	43          	0
48          	writeln             	1           	0x7fca8dc05b40
48          	(                   	2           	81
48          	numsArray           	1           	0x7fca8dc03320
48          	[                   	2           	83
48          	3                   	10          	0
48          	]                   	2           	84
48          	mod                 	8           	79
48          	15                  	10          	0
48          	)                   	2           	82
49          	end                 	38          	71
49          	.                   	4           	87
-1          	EOF                 	20          	0
